task_id,repo,branch,status,depends_on,title,scope,implementation_notes,test_plan,done_when
BE-000,printmomentum_be,main,done,,Bootstrap Spring Boot 4.1.1,"Base app, health, Flyway V1, H2, CORS for Vite. Already on main.",Do not re-scaffold. Later tasks branch from main (or previous merged branch).,`./mvnw test` includes HealthControllerTest and contextLoads.,Health GET /api/v1/health returns {status:ok}.
BE-001,printmomentum_be,feat/BE-001-docker-mariadb,todo,BE-000,Local MariaDB via Docker Compose,Add compose + application-local profile using MariaDB; keep H2 as default test.,"docker-compose.yml: MariaDB 11, db printmomentum, healthcheck. application-local.properties datasource + flyway. Document JAVA_HOME 21. Do not change test profile.",`docker compose up -d` then `./mvnw spring-boot:run -Dspring-boot.run.profiles=local` starts. `./mvnw test` still uses H2 and passes.,Local profile connects; tests unchanged.
BE-002,printmomentum_be,feat/BE-002-listing-schema,todo,BE-001,Flyway schema for listings and shops,"V2 SQL: shop, listing, listing_image. MySQL-compatible for H2 MODE=MySQL and MariaDB.","Tables: shop(shop_id PK, name, url), listing(listing_id PK, shop_id FK, title, description, url, taxonomy_id, price_amount, currency, tags JSON/text, num_favorers, etsy_created_at, etsy_updated_at, print_tee_score, is_print_tee, first_seen_at, last_seen_at), listing_image(id, listing_id, url, rank). Indexes on is_print_tee, last_seen_at.",`./mvnw test` Flyway migrates on H2. Add a test that jdbcTemplate counts tables or uses FlywayMigrationTest. Insert one listing in test.,Migration applies on H2 and local MariaDB.
BE-003,printmomentum_be,feat/BE-003-jpa-entities,todo,BE-002,JPA entities and repositories,Map V2 tables. No JSON leak of entities.,"Records/entities in domain/. Repositories: ListingRepository, ShopRepository. ddl-auto=validate must pass against Flyway.",@DataJpaTest or @SpringBootTest saving a listing with shop. Unique listing_id enforced.,Entities persist/load; contextLoads still green.
BE-004,printmomentum_be,feat/BE-004-etsy-client,todo,BE-000,Etsy Open API v3 RestClient,"Typed client, timeouts, 429 retry, quota headers. No live calls in tests.","Read skill etsy-openapi-v3. RestClient bean, EtsyProperties from ETSY_API_KEY. Methods: searchActive, getListing, getTaxonomy. Map only documented fields. Throw EtsyUnavailableException on 5xx/429 exhausted.",WireMock or MockRestServiceServer: 200 maps listing_id/title/num_favorers; 429 retries then fails; missing API key fails fast at startup only if etsy profile. Unit test JSON mapping fixture.,Client covers search+getListing; CI never hits Etsy.
BE-005,printmomentum_be,feat/BE-005-print-tee-classifier,todo,BE-003,Printable t-shirt classifier,Score 0-1 + is_print_tee at 0.7 + reject reasons.,"Read printmomentum-domain skill. Pure Java service, no Spring if possible. Include print/graphic/DTG; exclude vintage, used, embroidery, blank wholesale, hoodie. Configurable keyword lists in yaml.","Golden fixture JSON of 15 titles/tags (8 include, 7 exclude). Assert threshold. No network.",Precision on fixtures documented; unit tests pass.
BE-006,printmomentum_be,feat/BE-006-ingest-job,todo,"BE-004,BE-005",Ingest job upserts listings,"Scheduled job searches Etsy keywords/taxonomy, classifies, upserts.","@Scheduled or Spring Batch lite. Query set in yaml (graphic tee, printed t-shirt, etc.). Idempotent upsert by listing_id. Skip non-print unless score stored. Capture crawl_run_id. Disable schedule in tests with property.","@SpringBootTest with stub EtsyClient returning 3 listings; one excluded. Assert 2 print tees stored, 1 stored with is_print_tee=false or skipped per spec (pick skip). Second run does not duplicate.",Job is idempotent; schedule off in test.
BE-007,printmomentum_be,feat/BE-007-rank-snapshots,todo,BE-006,Append-only rank snapshots,Each crawl stores position + favorers + reviews proxy.,"Table listing_snapshot(id, listing_id, crawl_run_id, observed_at, position, num_favorers). Never update old rows. Set first_seen_in_top_at when position <= N (N=100 default).","Test: two crawls, positions 5 then 40; two snapshot rows; first_seen_in_top_at set once.",History preserved; first_seen_in_top_at immutable.
BE-008,printmomentum_be,feat/BE-008-momentum-score,todo,BE-007,Momentum ranking formula,days_to_top + recency + favorers delta.,Read domain skill. ListingRanker computes score. 2-day climb beats 30-day occupant. Formula in one class with comments. Persist last_score + last_scored_at.,"Unit tests: (created 10d ago, top in 2d) > (created 400d ago, in top 30d). Tie-breaker: larger favorers delta. Zero-division guarded.",Deterministic tests; documented formula.
BE-009,printmomentum_be,feat/BE-009-listings-api,todo,BE-008,GET /api/v1/listings ranked feed,Paginated feed of print tees by momentum.,"Query params: page,size,maxDaysToTop,minScore,q. Response DTO: listingId,title,price,currency,imageUrl,etsyUrl,daysToTop,momentumScore,numFavorers,shopName. Default isPrintTee=true. Jackson camelCase.",@WebMvcTest or MockMvc: empty 200 items[]; fixture 2 listings ordered by score desc; size=1 returns 1; invalid size=1000 -> 400.,Contract tests pass; no entities in JSON.
BE-010,printmomentum_be,feat/BE-010-listing-detail,todo,BE-009,GET /api/v1/listings/{id},Detail + last K snapshots for sparkline.,404 if missing. Include rejectReasons only if debug=true (default false).,404 test; 200 includes snapshots newest last.,Detail matches feed fields plus snapshots.
BE-011,printmomentum_be,feat/BE-011-problem-json,todo,BE-009,RFC 7807 errors,"Global handler for validation, not found, etsy down.",application/problem+json; no stack traces to client.,"Mvc tests: 400, 404, stub 503 for etsy.",Error body is problem+json.
BE-012,printmomentum_be,feat/BE-012-s3-images,todo,BE-003,Cache listing images on S3,"Download Etsy image once, store S3 key, serve CloudFront or signed URL later.",AWS SDK v2. Local profile no-op (keep Etsy URL). Never commit credentials.,Test with S3 mock (Localstack optional) or interface FakeObjectStorage. Assert key format listings/{id}/{n}.jpg.,Storage port + local fake; optional Localstack IT tagged.
BE-013,printmomentum_be,feat/BE-013-rate-limit-metrics,todo,BE-004,Etsy quota metrics and ingest guard,Micrometer gauges for remaining QPD; skip crawl if remaining < threshold.,Actuator metrics. Log remaining-today. Alert later.,Unit test: remaining 5 -> job skip; remaining 5000 -> run.,Job respects quota; metric registered.
BE-014,printmomentum_be,feat/BE-014-taxonomy-cache,todo,BE-004,Cache t-shirt taxonomy ids,"Resolve clothing > t-shirts ids, 24h cache.",Caffeine or Spring Cache. Fallback to yaml ids if Etsy fails.,Test cache hit (client called once for two lookups).,Taxonomy resolved without per-request Etsy.
BE-015,printmomentum_be,feat/BE-015-api-key-auth,todo,BE-009,Protect API with API keys (MVP SaaS),Header X-Api-Key. Public: health.,Table api_client. 401 on missing/invalid. Dev default key in local profile only.,Mvc: health 200 no key; listings 401; valid key 200.,Health open; listings protected.
BE-016,printmomentum_be,feat/BE-016-ci,todo,BE-000,GitHub Actions CI,On PR: tests + build. Java 21.,No Etsy secrets required. Cache Maven.,Push empty PR or act locally; workflow yaml valid.,CI green on main.
